Clave,Municipio,Total,Total_10_19,15_a_19,Menores_de_15,11,12,13,14,15,16,17,18,19
14,Jalisco,"139,173","21,160","20,761",399,2,7,57,333,"1,147","2,640","3,951","6,052","6,971"
14 001,Acatic,487,67,66,1,,,,1,1,4,20,17,24
14 002,Acatlán de Juárez,414,78,76,2,,,,2,6,15,13,19,23
14 003,Ahualulco de Mercado,379,61,61,,,,,,2,7,11,17,24
14 004,Amacueca,115,16,14,2,,,,2,2,1,1,8,2
14 005,Amatitán,357,53,52,1,,,,1,2,9,12,14,15
14 006,Ameca,"1,024",138,133,5,,,1,4,3,18,23,50,39
14 007,San Juanito de Escobedo,154,21,20,1,,,,1,1,2,1,7,9
14 008,Arandas,"1,596",157,155,2,,,,2,11,21,25,49,49
14 009,El Arenal,431,68,67,1,,,,1,1,9,16,17,24
14 010,Atemajac de Brizuela,167,34,34,,,,,,3,7,10,6,8
14 011,Atengo,111,12,12,,,,,,,,6,3,3
14 012,Atenguillo,47,4,4,,,,,,2,,1,,1
14 013,Atotonilco el Alto,"1,316",199,195,4,,,,4,14,15,33,62,71
14 014,Atoyac,122,20,20,,,,,,,4,4,8,4
14 015,Autlán de Navarro,"1,049",168,164,4,,,1,3,8,20,40,55,41
14 016,Ayotlán,828,124,120,4,,,,4,6,17,33,36,28
14 017,Ayutla,231,44,41,3,,,1,2,3,3,11,12,12
14 018,La Barca,"1,304",236,232,4,,,2,2,20,28,48,70,66
14 019,Bolaños,237,49,48,1,,,,1,4,2,12,20,10
14 020,Cabo Corrientes,198,37,36,1,,,,1,2,6,8,10,10
14 021,Casimiro Castillo,355,70,69,1,,,,1,8,7,11,17,26
14 022,Cihuatlán,779,151,146,5,,,,5,13,27,27,41,38
14 023,Zapotlán el Grande,"1,823",255,250,5,,,,5,8,32,48,68,94
14 024,Cocula,502,84,83,1,,,,1,5,11,22,18,27
14 025,Colotlán,376,45,45,,,,,,2,4,8,13,18
14 026,Concepción de Buenos Aires,101,20,20,,,,,,2,3,4,8,3
14 027,Cuautitlán de García Barragán,317,69,66,3,,,,3,3,9,19,16,19
14 028,Cuautla,42,4,4,,,,,,,,2,2,
14 029,Cuquío,337,33,33,,,,,,3,4,4,10,12
14 030,Chapala,"1,036",173,171,2,,,1,1,10,23,35,53,50
14 031,Chimaltitán,69,9,9,,,,,,1,1,2,2,3
14 032,Chiquilistlán,145,23,23,,,,,,,1,6,10,6
14 033,Degollado,402,56,56,,,,,,2,3,14,10,27
14 034,Ejutla,56,3,3,,,,,,,1,,2,
14 035,Encarnación de Díaz,"1,063",132,129,3,,,,3,5,12,25,36,51
14 036,Etzatlán,364,45,43,2,,,,2,1,5,14,9,14
14 037,El Grullo,452,58,56,2,,,,2,3,9,12,14,18
14 038,Guachinango,81,11,11,,,,,,,3,1,2,5
14 039,Guadalajara,"23,026","2,749","2,711",38,,1,11,26,124,316,476,810,985
14 040,Hostotipaquillo,177,22,21,1,,,,1,1,1,6,7,6
14 041,Huejúcar,83,8,8,,,,,,,,2,3,3
14 042,Huejuquilla el Alto,204,28,25,3,1,,,2,,4,8,6,7
14 043,La Huerta,359,73,69,4,,1,2,1,3,7,9,32,18
14 044,Ixtlahuacán de los Membrillos,976,242,237,5,,,1,4,25,29,66,51,66
