,CLAVE CT,NOM TURNO,NOMBRE CT,DOMICILIO,LOCALIDAD INEGI, NOMBRE LOCALIDAD,COLONIA,NOMBRE COLONIA,MUNICIPIO CLAVE INEGI,NOMBRE MUNICIPIO,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCION INTRACURRICULAR,REPROBACIÓN,REPROBACIÓN  CON REGULARIZADOS,EFICIENCIA TERMINAL, 
11224,14DES0001S,MATUTINO,JOSE MA MORELOS Y PAVON,AVENIDA PATRIA PONIENTE 2,1,AMECA,9035,NI‹OS HEROES,6,AMECA,FEDERALIZADO,SECUNDARIA,GENERAL,0.032,0.0014,0,0.8843,
11225,14DES0001S,VESPERTINO,JOSE MA MORELOS Y PAVON,AVENIDA PATRIA PONIENTE 2,1,AMECA,9035,NI‹OS HEROES,6,AMECA,FEDERALIZADO,SECUNDARIA,GENERAL,0.043,0,0,0.8664,
11226,14DES0002R,MATUTINO,JUAN RULFO,IGNACIO ZARAGOZA 76,1,TUXCACUESCO,0,0,106,TUXCACUESCO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0808,0,0,0.7692,
11227,14DES0003Q,MATUTINO,MANUEL AVILA CAMACHO,MARIANO JIMENEZ 300,1,YAHUALICA DE GONZALEZ GALLO,0,0,118,YAHUALICA DE GONZALEZ GALLO,FEDERALIZADO,SECUNDARIA,GENERAL,0.055,0.028,0.0194,0.8177,
11228,14DES0003Q,VESPERTINO,MANUEL AVILA CAMACHO,MARIANO JIMENEZ 300,1,YAHUALICA DE GONZALEZ GALLO,0,0,118,YAHUALICA DE GONZALEZ GALLO,FEDERALIZADO,SECUNDARIA,GENERAL,0.1012,0.0495,0.0495,0.767,
11229,14DES0004P,MATUTINO,MIGUEL HIDALGO Y COSTILLA,AVENIDA 27 DE MARZO 3,1,TUXPAN,0,0,108,TUXPAN,FEDERALIZADO,SECUNDARIA,GENERAL,0.0263,0.0302,0.0238,0.8477,
11230,14DES0004P,VESPERTINO,MIGUEL HIDALGO Y COSTILLA,AVENIDA 27 DE MARZO 3,1,TUXPAN,0,0,108,TUXPAN,FEDERALIZADO,SECUNDARIA,GENERAL,0.0351,0.0808,0.0626,0.725,
11231,14DES0005O,VESPERTINO,BENITO JUAREZ,CONSTITUCION 534,1,CIUDAD GUZMAN,0,0,23,ZAPOTLAN EL GRANDE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0573,0.0729,0.0382,0.7231,
11232,14DES0005O,MATUTINO,BENITO JUAREZ,CONSTITUCION 534,1,CIUDAD GUZMAN,0,0,23,ZAPOTLAN EL GRANDE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0077,0.0959,0.0155,0.9624,
11233,14DES0006N,VESPERTINO,MANUEL LOPEZ COTILLA,ADAN URIBE,1,AUTLAN DE NAVARRO,0,0,15,AUTLAN DE NAVARRO,FEDERALIZADO,SECUNDARIA,GENERAL,0.1118,0,0,0.8224,
11234,14DES0006N,MATUTINO,MANUEL LOPEZ COTILLA,ADAN URIBE,1,AUTLAN DE NAVARRO,0,0,15,AUTLAN DE NAVARRO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0218,0,0,0.886,
11235,14DES0007M,MATUTINO,BENITO JUAREZ,CORREGIDORA 125,1,LA BARCA,0,0,18,LA BARCA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0314,0.0961,0.0613,0.8224,
11236,14DES0007M,VESPERTINO,BENITO JUAREZ,CORREGIDORA 125,1,LA BARCA,0,0,18,LA BARCA,FEDERALIZADO,SECUNDARIA,GENERAL,0.1006,0.1317,0.0934,0.71,
11237,14DES0008L,MATUTINO,JOSE MA MERCADO,SE‹ORA DE LOS DOLORES 40,1,AHUALULCO DE MERCADO,0,0,3,AHUALULCO DE MERCADO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0085,0,0,0.9077,
11238,14DES0008L,VESPERTINO,JOSE MA MERCADO,SE‹ORA DE LOS DOLORES 40,1,AHUALULCO DE MERCADO,0,0,3,AHUALULCO DE MERCADO,FEDERALIZADO,SECUNDARIA,GENERAL,0.03,0,0,0.8049,
11239,14DES0009K,MATUTINO,JESUS REYES HEROLES,LAZARO CARDENAS 311,243,LA VENTA DEL ASTILLERO,0,0,120,ZAPOPAN,FEDERALIZADO,SECUNDARIA,GENERAL,0,0.1914,0.1029,0.9231,
11240,14DES0010Z,MATUTINO,AGUSTIN YA‹EZ,CARLOS GONZALEZ PE‹A,1,GUADALAJARA,9339,SAN RAFAEL DEL PARQUE,39,GUADALAJARA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0255,0,0,0.8478,
11241,14DES0010Z,VESPERTINO,AGUSTIN YA‹EZ,CARLOS GONZALEZ PE‹A,1,GUADALAJARA,9339,SAN RAFAEL DEL PARQUE,39,GUADALAJARA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0308,0,0,0.8459,
11242,14DES0011Z,MATUTINO,VALENTIN GOMEZ FARIAS,CARRETERA BARRA DE NAVIDAD KM. 44,1,ACATLAN DE JUAREZ,0,0,2,ACATLAN DE JUAREZ,FEDERALIZADO,SECUNDARIA,GENERAL,0.0085,0.0944,0.0515,0.9427,
